episode,global_step,episode_reward,avg_state_error,actor_loss,critic_loss,trajectory
0,300,-397.0386407256127,3.440038933356603,0.17071723986417056,5.102281029373407,triangular
1,600,-420.5295585004613,3.102654676437378,0.11921987324332198,4.036096965819597,triangular
2,900,-374.092731511593,2.262632299264272,0.08775033523639043,3.3183133817712465,triangular
3,1200,-178.6853184115142,1.802366367181142,0.17650207539399465,2.755000579059124,triangular
4,1500,-35.88673683451487,1.3753596701224644,0.21439736782262722,2.7285416186849276,triangular
5,1800,-23.674218724295518,1.415977652867635,0.2552455047269662,2.0722138667975862,triangular
6,2100,-31.71147727668284,1.796483484307925,0.2649434924622377,1.612918254857262,triangular
7,2400,-38.6801947925239,2.1045797057946523,0.2902988541002075,1.2262222905332842,triangular
8,2700,-17.372164984047423,1.4088877967993418,0.29578805310030776,0.7446482560597361,triangular
9,3000,-28.02676429091952,1.7523857520023982,0.3493631342053413,0.5959784271381795,triangular
10,3300,-32.32593597192317,1.5289770172039667,0.393970925124983,0.4838256557875623,triangular
11,3600,-4.3568572632502685,1.416524297396342,0.41963333611687026,0.3655664145387709,triangular
12,3900,-21.231948945857567,2.0900148928165434,0.4659509193897247,0.27029489767427245,triangular
13,4200,-14.45109889197628,1.3787128221988678,0.4849974403778712,0.22428083531558513,triangular
14,4500,-12.000085086887712,1.3863338885704677,0.5189829134941101,0.19601635745726526,triangular
