#{"t_start": 1776603862.111948, "env_id": "None"}
r,l,t
17.780163,150,154.743623
16.615538,150,155.794014
-15.936864,82,156.369922
26.614377,96,157.041065
-24.845691,69,157.525692
5.06207,150,158.569789
11.01888,150,159.613858
20.009845,150,160.661758
18.080625,150,161.704716
18.295429,150,162.749168
1.91705,150,163.800111
24.154711,126,164.676938
19.02603,150,165.728427
3.046124,150,166.773234
7.354373,150,167.823255
1.89518,150,168.869338
38.939721,96,169.539148
15.031839,150,170.583025
48.272067,68,171.059296
13.859787,150,172.108236
48.013645,60,172.52558
15.612505,150,173.56861
49.622174,71,174.064216
43.586095,142,175.054726
22.71974,150,176.099677
26.537476,150,177.140257
49.592999,104,177.86576
48.527391,69,178.348899
28.790109,150,179.392403
48.386325,98,180.075867
29.047702,136,181.030508
24.064904,138,181.997699
42.761859,73,182.50846
47.794061,98,183.196856
49.88759,74,183.715644
26.134374,91,184.353614
32.152367,143,185.35485
23.652272,150,186.406727
53.83506,104,187.13803
25.049496,150,188.185935
29.178198,147,189.213732
48.880401,138,190.181029
15.027155,150,191.229038
10.986358,150,192.277226
12.542922,150,193.322965
16.784706,150,194.372041
18.415435,150,195.419217
3.503258,150,196.465345
16.91617,150,197.513094
3.965127,150,198.560994
35.889181,150,199.60271
12.456895,150,200.649573
21.986497,150,201.697461
19.826345,150,202.74227
22.68609,150,203.788357
38.672332,127,204.667318
24.570047,150,205.710524
24.419754,150,206.755215
44.190703,128,207.64562
19.960282,150,208.690671
25.180677,150,209.739961
25.631313,150,210.792691
11.6788,150,211.845665
23.89266,150,212.899822
14.323197,150,213.952718
32.11226,145,214.968884
15.681599,150,216.019926
24.693006,150,217.071827
44.811014,118,217.894799
18.165768,150,219.429565
-2.766881,150,220.475043
21.560569,150,221.516256
21.333655,150,222.564841
14.070366,150,223.611258
14.558018,150,224.658237
15.53626,150,225.703143
27.290716,150,226.752352
26.292619,150,227.796545
15.621535,150,228.84047
47.406913,133,229.764586
43.90887,150,230.812278
18.14356,133,231.74063
54.913319,117,232.555645
13.644873,150,233.601478
48.082551,135,234.542789
