episode,global_step,episode_reward,avg_state_error,actor_loss,critic_loss,trajectory
0,300,-426.52517326846703,1.517075758377711,0.21615978430956603,2.274132517306134,square_wave
1,600,-408.91503466982397,1.2588003327449162,0.22956971630454062,0.8211441634998967,square_wave
2,900,-396.13872407376726,1.4979476356506347,0.2876443151632945,0.30715172141169506,square_wave
3,1200,-159.2327488340904,1.4027960409720739,0.3044294136762619,0.19227540671204527,square_wave
4,1500,-22.06253077844158,1.4076044277350108,0.3183801527321339,0.12092403928283602,square_wave
5,1800,-16.1538863393478,1.3939696629842122,0.3402950336039066,0.10182379312658062,square_wave
6,2100,-11.757853192510085,1.4643404962619146,0.3642878270645936,0.06335860691809406,square_wave
0,300,-413.609826279804,1.5784590450922649,0.21890501260757447,2.4875178749486806,square_wave
1,600,-418.67291446384013,1.4169929256041844,0.197433892339468,1.2623642721834283,square_wave
2,900,-388.78933310955773,1.5839837551116944,0.25163768003384274,0.7402849691733718,square_wave
3,1200,-153.3328606345689,1.364818939169248,0.2958095910648505,0.5628136071717987,square_wave
4,1500,-21.12050128923729,1.418904748558998,0.30990595653653147,0.3644546675247451,square_wave
5,1800,-13.33470456935465,1.40390650053819,0.3203567667553822,0.22314384978885451,square_wave
6,2100,-15.98513058554381,1.3912787659962973,0.3428235155840715,0.18316546712381143,square_wave
7,2400,-15.75709417727778,1.3969373546044033,0.3765650283296903,0.09985537789296359,square_wave
8,2700,-10.800546411611142,1.3694207714001339,0.4152478943268458,0.05626954075414688,square_wave
9,3000,-14.281392099149539,1.3782908906539282,0.4385421970486641,0.04390242137170086,square_wave
10,3300,-12.25581635339186,1.3992149013280868,0.4504640661428372,0.04609144493782272,square_wave
11,3600,6.9806069071171795,1.3757002357641857,0.47606156587600706,0.039422950514902674,square_wave
12,3900,-8.138905019033704,1.3983883368968963,0.49141725117961566,0.03586765089382728,square_wave
13,4200,-10.23306101912166,1.372320253252983,0.51496608654658,0.0304003016386802,square_wave
14,4500,-11.506101498706267,1.3920308101177215,0.5551384101311366,0.03209132457152009,square_wave
15,4800,-11.629278248501953,1.3998157225052517,0.5655192019542058,0.03755808031186461,square_wave
16,5100,-7.386004492267967,1.4120095898707707,0.5753765761852264,0.034093182231299576,square_wave
17,5400,-8.357827488880138,1.4129589353005092,0.6058264648914338,0.03502580471802503,square_wave
18,5700,-8.812796021439139,1.4266196954250336,0.6163500255346298,0.03487943390539537,square_wave
19,6000,-13.677691362425671,1.4246727232138316,0.6477079945802688,0.03259749858096863,square_wave
20,6300,-6.731013731844716,1.4178014002243677,0.6699889542659124,0.03897755284250404,square_wave
21,6600,-5.699695224035529,1.411873108545939,0.6853056542078654,0.03659432124889766,square_wave
22,6900,-6.271841274062169,1.4064140250285466,0.6972647269566854,0.04014042517480751,square_wave
23,7200,10.333546151360515,1.3901117930809657,0.72584414879481,0.03419767159037292,square_wave
24,7500,-5.015914958156652,1.395610110561053,0.7316296909252803,0.03425557870573054,square_wave
25,7800,-4.348889153683561,1.425573892792066,0.7546730903784434,0.033237771580461414,square_wave
26,8100,-4.268093596427935,1.3989091815551122,0.7725997157891591,0.032501252258662135,square_wave
27,8400,-3.263788498891511,1.4135287157694498,0.794250662724177,0.035352257832419125,square_wave
28,8700,-3.2503308076411495,1.4216736302773159,0.8138152488072713,0.0339851172400328,square_wave
29,9000,-6.507401069207116,1.4156348743041356,0.8292874050140381,0.037694450210159026,square_wave
30,9300,-3.7930115299299385,1.4133604365587233,0.8471629957358042,0.0295020659135965,square_wave
31,9600,-3.2580366694019163,1.4101605174938838,0.8691836949189504,0.025049948849870513,square_wave
32,9900,-3.5554600683972235,1.4091620041926702,0.8829107544819514,0.03861871712220212,square_wave
33,10200,-4.512506812997163,1.4292978705962498,0.9070742245515188,0.03206462063904231,square_wave
34,10500,-4.080674973153504,1.4082806539535522,0.9196046539147695,0.03098900546397393,square_wave
35,10800,-3.65938456701115,1.408820955355962,0.9362499149640401,0.029576356637602053,square_wave
36,11100,-3.4136251901276404,1.4135753587881723,0.9588138806819916,0.03790259655487413,square_wave
37,11400,-3.1250901214778395,1.414268879890442,0.9642121458053589,0.03290208741324022,square_wave
38,11700,-4.682860798854378,1.410800737341245,0.981113657951355,0.03627638979504506,square_wave
39,12000,-2.786610731744441,1.4118790602684022,0.9997870278358459,0.03251396927051246,square_wave
40,12300,-4.436902086809279,1.408588454524676,1.0174128325780232,0.03476850838788475,square_wave
41,12600,-4.098093592654914,1.423407231171926,1.0278383088111878,0.03316300686448812,square_wave
